time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
01/01/2018,4.3,-3,12,82,0,,4.1,,1014.9,,2
02/01/2018,4.1,-1,6.6,99,1.6,,6.7,,1007.6,,8
03/01/2018,5.3,3.5,7.6,91,0,,7.6,,1008.6,,8
04/01/2018,4.2,-0.2,5.7,95,0.2,,5.2,,1006.4,,6
05/01/2018,2.6,-2.2,7.1,94,0,,4.6,,1012.1,,3
06/01/2018,6.6,-0.4,14.2,84,0,,5,,1017.9,,1
07/01/2018,6.5,-2,13.6,88,0,,6,,1023,,0
08/01/2018,4.4,-1.4,8.3,95,0,,6.2,,1030.2,,5
09/01/2018,3.7,2.1,6.6,82,0,,12.3,,1035.3,,7
10/01/2018,2.7,0.5,4,93,0,,8.5,,1026.2,,8
11/01/2018,5.9,3.7,6.6,99,3.6,,9.5,,1015.3,,8
12/01/2018,3.8,3.2,6.1,91,11.8,,13.2,,1023,,8
13/01/2018,-0.5,-1.2,3.2,81,1.3,,18.3,,1031.8,,8
14/01/2018,-3.4,-5.2,-0.9,63,0,,15,,1034.1,,6
15/01/2018,-5.6,-7.1,-4.5,77,1.8,,9,,1032.6,,7
16/01/2018,-4.7,-10.6,-1.9,80,2.1,4,7.6,,1018.9,,6
17/01/2018,0,-5.8,8.5,82,0.3,,7.7,,1000.3,,4
18/01/2018,3.2,0,8.9,74,2,,6.8,,1001.3,,5
19/01/2018,3.3,-2.5,8.3,70,0,,10.8,,1010.5,,1
20/01/2018,1.6,-1.5,5.4,94,9.7,1,3.8,,1011.9,,7
21/01/2018,0.4,-0.6,0.3,99,2.8,3,7.5,,1011.3,,8
22/01/2018,0.3,-0.4,1,94,9.3,1,9.8,,1010.5,,8
23/01/2018,0.2,-1.5,2.8,86,1.5,6,4.1,,1023.7,,8
24/01/2018,-2.6,-7.3,0.8,73,0,3,5.9,,1036.3,,3
25/01/2018,-3.5,-7.9,1.4,75,0,3,6.8,,1033,,0
26/01/2018,-3.4,-10.9,3.4,82,0,2,4.9,,1030.6,,0
27/01/2018,-2.4,-9.8,5.8,84,0,,2.4,,1033.2,,1
28/01/2018,-2.1,-8.8,3,86,0,,6.4,,1033.3,,1
29/01/2018,2.5,-4.1,7.7,84,0,,5.9,,1027,,5
30/01/2018,5.6,-1.1,13.3,83,0,,8.3,,1020.1,,2
31/01/2018,3,-5.4,11.3,79,0,,3.2,,1023.8,,0
01/02/2018,4.1,-5.9,11,81,0,,6,,1016.2,,0
02/02/2018,7.3,-2.1,15.7,80,0,,4.2,,1012.9,,2
03/02/2018,9.4,0.1,16.6,84,0.9,,7.1,,1006,,6
04/02/2018,7.7,5.7,14.4,86,5.8,,10.1,,1008.1,,8
05/02/2018,3.3,1.1,6.9,81,0,,6,,1022.5,,5
06/02/2018,-0.8,-5.9,3,96,0,,4.1,,1023.9,,4
07/02/2018,4.3,-0.8,8.1,,0,,10.5,,1022,,8
08/02/2018,6.3,5,9.9,94,6.7,,10.3,,1011.6,,6
09/02/2018,4.9,1.1,10.5,80,0.2,,11.3,,1012.6,,3
10/02/2018,2.8,-1.5,6.3,87,0,,9.9,,1015,,6
11/02/2018,1.6,-0.3,4.3,84,1.5,,12.4,,1010.4,,8
12/02/2018,2.4,0.4,4.6,90,1.4,,3.5,,1012.8,,8
13/02/2018,3.4,-2.4,8.3,80,0,,5.7,,1015.5,,6
14/02/2018,3.5,2.3,3.8,98,44.9,4,12.7,,1010,,8
15/02/2018,2.9,0.9,4.8,93,5.6,,5.5,,1019.6,,8
16/02/2018,4.7,1.1,8.3,77,0,,4.6,,1026.6,,7
17/02/2018,3.9,-3.5,8.3,76,0,,4.6,,1026.3,,4
18/02/2018,2.7,-1.4,5.6,90,0,,6.5,,1021.8,,5
19/02/2018,1.1,0.4,3.9,83,4.9,,16.8,,1024.2,,8
20/02/2018,-0.4,-1.9,0.5,82,0.8,,14.7,,1022.2,,8
21/02/2018,0.9,-0.1,2.3,87,0.7,,12.7,,1018.6,,8
22/02/2018,-0.2,-0.7,0.9,94,4.6,,13.2,,1018.6,,8
23/02/2018,-0.1,-1.4,1.4,88,0.4,2,9.8,,1020,,8
24/02/2018,-0.8,-2.6,0.6,89,0.9,,9.2,,1015,,8
25/02/2018,-4.5,-5.4,-2.3,67,0.4,,16,,1019.6,,8
26/02/2018,-8.7,-9.5,-5.4,76,3.2,,24.6,,1019.3,,8
27/02/2018,-8.2,-9.6,-5.6,80,8.8,8,18.1,,1013.7,,7
28/02/2018,-8.7,-10.2,-5.8,78,6.9,1,14.7,,1016.9,,8
01/03/2018,-9.6,-21.7,-2.9,,0.6,11,4.9,,1021.2,,2
02/03/2018,-3.5,-9.8,0.3,72,0.6,,4,,1009.5,,8
03/03/2018,0.5,-1.6,5.1,85,0.5,3,11.4,,999.3,,6
04/03/2018,-2.6,-4.9,-0.7,69,0.6,,10.1,,1008,,8
05/03/2018,-0.4,-2.5,0.7,77,0,1,9.5,,1013.2,,8
06/03/2018,2.1,0.7,3,93,1.8,,9.8,,1005.4,,8
07/03/2018,3.9,0.9,9.4,92,2.4,,10.3,,1001.7,,5
08/03/2018,7.9,-1.2,14.7,78,0,,6.8,,1006.5,,3
09/03/2018,6.8,4,10.7,88,0,,10.1,,1014.5,,6
10/03/2018,9.4,-1.7,17,76,0,,6.7,,1014.6,,4
11/03/2018,11.1,3.3,18.8,74,0,,3.8,,1013.7,,3
12/03/2018,10.2,4,16,81,0,,7.4,,1009.5,,3
13/03/2018,9.1,7.1,12.4,95,15.3,2,8.7,,1001.3,,8
14/03/2018,11.1,7.4,18.1,76,1.1,,7.3,,1004.5,,6
15/03/2018,10,3.9,16.6,81,1.1,,5.2,,1009.7,,4
16/03/2018,11.3,0.1,18.5,72,0,,5.2,,1008.7,,4
17/03/2018,12.3,8.6,18,75,0.2,,11.3,,1003.1,,6
18/03/2018,-1.1,-4.2,13.3,83,6.8,,22.5,,1005.5,,8
19/03/2018,-4.5,-5.8,-3.3,84,3.2,,13.4,,1012.7,,8
20/03/2018,-2,-4.8,1.6,86,10.4,1,10.2,,1009,,6
21/03/2018,-2.8,-7.3,-1,93,4.3,,9.2,,1017.5,,6
22/03/2018,-2.1,-3.6,0.2,82,2.4,,7.8,,1022.1,,8
23/03/2018,-1.9,-3.8,-0.4,91,17.9,1,14.3,,1006,,8
24/03/2018,-0.2,-5,3.9,80,0,14,4.4,,1008.8,,8
25/03/2018,0.9,-1.2,3.8,61,0,10,6.1,,1017.7,,7
26/03/2018,2.4,1.4,3.2,93,5.9,,8.6,,1014,,8
27/03/2018,4.6,1.7,6.8,92,0.2,,6.6,,1012.1,,8
28/03/2018,5.9,-0.7,11.4,80,0,,5.6,,1012.6,,3
29/03/2018,7.7,-1.2,14.2,79,0,,4.9,,1013.3,,5
30/03/2018,12.1,1.4,19.7,64,0,,5.2,,1015.3,,4
31/03/2018,14.4,2.8,24.2,69,0,,5,,1011.1,,4
01/04/2018,12.1,6.6,18,73,2.8,,13.4,,1000,,6
02/04/2018,10.8,6.7,16.3,53,0,,15.3,,1008.7,,4
03/04/2018,10.9,-1.3,18.3,61,0,,5.8,,1021,,2
04/04/2018,15.3,1.5,24.4,59,0,,5,,1018.1,,2
05/04/2018,17.2,5.2,24.6,63,0,,4.4,,1012.3,,7
06/04/2018,13.9,10.6,18.4,70,0.1,,6.8,,1013.1,,7
07/04/2018,15,7.1,20.9,66,0,,13.2,,1021.4,,4
08/04/2018,15.8,11.1,22.4,60,0,,10.8,,1023.4,,1
09/04/2018,14.6,4.5,22.6,65,0,,7.1,,1018.9,,0
10/04/2018,16.2,5.2,25.7,64,0,,3.8,,1012.9,,1
11/04/2018,17.2,9.4,25.5,67,0,,8.3,,1009.8,,5
12/04/2018,16,7.9,25.3,62,0,,10.3,,1012.1,,0
13/04/2018,17.1,10,25.3,61,0,,12.6,,1015,,1
14/04/2018,17.1,10.4,24.8,64,0,,7.9,,1020.6,,1
15/04/2018,16.2,7.4,24.8,69,0,,9.9,,1023,,5
16/04/2018,13.9,8.8,19.2,55,0,,10.5,,1020.1,,8
17/04/2018,12.1,8.2,15.7,78,0,,5.7,,1019.4,,8
18/04/2018,16.6,10,22.2,75,0.2,,6.4,,1024.3,,6
19/04/2018,18.4,8.3,24.5,72,0,,6.9,,1022.3,,4
20/04/2018,15.6,9.6,20.1,60,1.2,,8.6,,1019.6,,3
21/04/2018,16.9,5,22.6,61,0,,8.6,,1020.8,,1
22/04/2018,19.6,7.6,27.5,60,0,,7.8,,1014.2,,0
23/04/2018,20.4,7.7,27.5,63,0,,5,,1013.6,,1
24/04/2018,20,9.3,29.5,70,0.2,,4.8,,1013.5,,4
25/04/2018,20.2,9,27.4,71,0,,3.6,,1014.9,,2
26/04/2018,22.2,10.1,29.4,68,0,,2.7,,1011.8,,0
27/04/2018,18.2,11.8,24.4,71,0,,8.6,,1014.4,,3
28/04/2018,18.8,10.6,25.7,61,0,,7,,1020.1,,1
29/04/2018,17.6,10.1,25.7,56,0,,9.8,,1019,,0
30/04/2018,17.1,8.1,25.3,66,0,,8.4,,1015.8,,2
01/05/2018,19.3,9.5,28.4,60,0,,5.5,,1014.1,,0
02/05/2018,18.7,10.6,26.9,69,0,,8.5,,1014.4,,0
03/05/2018,17.9,11.5,26.1,74,0,,8.7,,1011.9,,2
04/05/2018,21.3,12.7,29.1,64,0,,8,,1012.7,,0
05/05/2018,22.7,11.7,29.9,64,0,,8,,1012.2,,1
06/05/2018,23,11.7,29.3,62,0.8,,7.8,,1011.4,,3
07/05/2018,20.4,10.4,26,60,0,,5.2,,1011.7,,4
08/05/2018,18.9,10.2,26,70,0,,5.6,,1007.4,,4
09/05/2018,18.1,15.3,22.1,83,2,,6.6,,1006.1,,8
10/05/2018,17.3,13.5,20.9,69,0,,8.1,,1009.4,,6
11/05/2018,19.1,11.2,25.9,64,0,,7.2,,1013.5,,5
12/05/2018,16.9,10.1,22.6,73,0,,3.5,,1016.1,,5
